και,1273035
να,1259484
της,956698
την,871326
το,759660
η,757088
για,666628
των,588855
του,586474
που,540760
θα,488466
με,462746
ειναι,444495
οτι,416661
απο,377026
σε,369313
τη,358592
τα,347193
τις,316280
δεν,315009
στην,314795
οι,292954
τους,239734
πρεπει,238933
μια,229979
τον,218020
αυτο,217084
στο,212505
ο,190446
μας,165405
ενα,129990
στη,127427
επιτροπη,117116
στις,115153
αλλα,112664
αυτη,109592
κατα,104714
εχει,103978
οποια,100747
κυριε,97927
προεδρε,97870
ως,90209
οπως,90017
επισης,88405
μου,87680
πολυ,85722
στον,81063
σχετικα,80560
ευρωπαϊκη,72359
αφορα,71692
στα,71486
εκθεση,71469
εχουν,69100
προς,66722
επιτροπης,66466
εε,65201
ηθελα,64577
κοινοβουλιο,62015
σας,61910
μελη,58974
κρατη,57561
μπορει,56882
μονο,56210
ενωση,55551
ευρωπαϊκης,55371
μεταξυ,54586
χωρες,53840
ηταν,53419
οποιο,53015
αν,52676
πολιτικη,51113
ενωσης,50645
ευρωπη,49967
οσον,49825
συμβουλιο,48504
θεμα,47678
εν,46590
ευρωπαϊκο,46355
σημερα,46229
ομως,46040
τομεα,44613
αυτα,44156
καθως,43761
εχουμε,42726
πιο,42165
αυτες,41949
ωστοσο,40336
υπαρχει,40045
στους,39510
δυο,39247
πλαισιο,38863
κοινοβουλιου,38228
οχι,37854
σημαντικο,37729
τωρα,37685
προταση,37552
μιας,37330
αποτελει,36967
κυρια,36864
ωστε,36815
εαν,36781
πως,36685
γεγονος,36228
λογω,36195
τροπο,35610
συζητηση,35437
πιστευω,34953
ακομη,34656
οποιες,34649
πολιτικης,34510
ολα,34383
οταν,34221
προκειται,34169
αυτην,34034
συμβουλιου,34003
τι,33894
εδω,33841
τοσο,33529
ευρωπαϊκου,33222
εκ,32139
καθε,31825
επι,31700
ηδη,31613
προκειμενου,30787
κατασταση,30721
θεση,30458
υπαρχουν,30046
κρατων,29937
διοτι,29898
ενος,29057
οσο,28678
μπορουμε,28519
δικαιωματων,27975
επιπεδο,27947
ιδιαιτερα,27014
χωρις,26869
αναπτυξη,26852
ζητημα,26587
αυτης,26412
μελων,26403
εργασιας,26346
αυτου,26286
μπορουν,26025
χωρα,25694
διαδικασια,25610
αυτον,25310
μετρα,25257
λογο,25135
μετα,25123
μην,24896
εναν,24832
κατι,24783
γι,24725
χρονια,24531
δικαιωματα,24469
παρα,24294
περισσοτερο,24158
συμφωνια,24025
μεσω,23292
περιπτωση,23236
πολιτες,23210
ευρωπης,22928
οπου,22849
πριν,22807
εξ,22623
νεα,22596
τελος,22585
αποψη,22489
υποψη,22443
ετσι,22303
·,21756
αγορα,21477
αυτων,21338
προβλημα,21303
ολες,21289
ασφαλειας,21110
θελω,20917
ειμαι,20611
ενας,20560
ευρω,20552
συνεργασια,20547
υπερ,20528
σχεση,20498
μεσα,20386
γιατι,20239
εκθεσης,20238
ειμαστε,20236
παραδειγμα,20218
κυριοι,20164
ενω,20015
επειδη,20003
ακομα,19953
ομαδα,19950
αρχες,19786
γινει,19475
εφαρμογη,19463
οικονομικη,19340
ολοι,19264
μελλον,19242
θεματα,19238
προβληματα,19117
χωρων,19094
–,19046
συμφωνα,18964
ονοματος,18956
κυριες,18935
προστασια,18842
πολιτων,18781
ομαδας,18695
υπο,18678
προγραμμα,18358
αναγκη,18349
ειχε,18235
συνεπως,18219
ουτε,18161
ολους,18043
βαση,17984
επιτροπε,17960
μεγαλη,17918
συστημα,17699
μεχρι,17606
προτασεις,17603
στιγμη,17447
κοινη,17337
πλεον,17336
πραγματικα,17311
πολλες,17293
αναπτυξης,17224
επομενως,17184
πολλα,17155
σημαντικη,17119
τροπολογιες,16899
αγορας,16651
θεωρω,16538
οδηγια,16512
ασφαλεια,16482
κυριως,16464
ορισμενες,16416
αλλη,16232
σημειο,16186
αρχη,16132
δηλαδη,16107
πω,16047
ψηφοφορια,15985
φορα,15967
μη,15951
αποτελεσμα,15786
ρολο,15782
δυνατοτητα,15749
σημασια,15641
τομεις,15593
αλλες,15479
ιδια,15384
τοτε,15350
επιπλεον,15249
αυτος,15164
ενεργειας,15097
λοιπον,14978
κανει,14958
ανθρωπινων,14951
φυσικα,14873
ακριβως,14759
εργο,14701
εμεις,14699
προσπαθειες,14681
στοχο,14674
γνωμη,14403
κανουμε,14371
πρωτη,14302
πολιτικες,14256
σχεδιο,14239
προεδρια,14165
αποφαση,14126
καμια,14120
ευχαριστησω,14091
εχω,14075
ευκαιρια,14055
μεγαλυτερη,14046
επιχειρησεις,14036
συνθηκη,13978
δημιουργια,13931
ελπιζω,13900
σωμα,13841
σημαινει,13830
αλλων,13779
επρεπε,13746
κυβερνηση,13736
τροπολογια,13714
διαρκεια,13648
οικονομικης,13498
δικαιωμα,13409
κανεις,13379
βουλευτες,13215
μπορουσε,13170
αυξηση,13080
πραγματι,13050
μαζι,13008
προσοχη,12985
πολιτικων,12969
μερος,12852
θελουμε,12815
ζητηματα,12794
συνεργασιας,12738
στρατηγικη,12726
ολων,12724
οδηγιας,12714
κριση,12679
ιδιο,12676
εγω,12653
προϋπολογισμου,12621
οποιος,12611
μεγαλο,12537
κρατος,12526
αποτελουν,12459
χρηση,12427
ιδιως,12374
μελος,12266
δυνατον,12249
κανονισμου,12235
ευχαριστω,12153
υπηρεσιες,12112
τουτου,12078
ψηφισμα,12064
συνθηκες,12044
μειωση,12039
αρθρο,12021
περιοχη,11982
τελευταια,11944
κανονες,11890
μετρων,11777
ισως,11765
ενισχυση,11730
κοσμο,11705
ας,11670
χρονο,11656
δρασης,11639
καταπολεμηση,11585
προστασιας,11558
υποστηριξη,11532
πραγματικοτητα,11510
μπορω,11510
αλλο,11389
χρειαζεται,11381
συναδελφοι,11364
οποιοι,11362
στοιχεια,11348
σαφες,11339
γνωριζουμε,11322
βοηθεια,11316
εξαιρετικα,11307
ειτε,11297
συγκεκριμενα,11294
σημαντικα,11254
ορισμενα,11207
νομοθεσια,11203
συνθηκης,11175
περαιτερω,11038
περιοχες,11032
προσεγγιση,11028
εως,10988
φαινεται,10885
γυναικων,10838
νεων,10815
απασχολησης,10774
βελτιωση,10765
εκτος,10764
απλως,10762
δυστυχως,10728
νομιζω,10697
προεδρος,10695
διαδικασιας,10656
λυση,10646
προσπαθεια,10644
καποια,10560
κοινωνικη,10514
ποσο,10456
στοχους,10446
δημοκρατια,10437
αυτους,10423
νεες,10422
μολις,10394
βασει,10346
δε,10341
γινεται,10298
περιοδο,10269
υπηρεσιων,10252
χρειαζομαστε,10230
εκατομμυρια,10229
γραπτως,10223
βαθμο,10178
αποτελεσματα,10163
πληρως,10159
απαντηση,10157
συχνα,10120
διαταξη,10064
περιβαλλον,10053
δραση,9993
συμφωνιας,9983
σημασιας,9913
διαφορες,9904
αφορουν,9892
παντα,9886
προσβαση,9884
καλη,9860
ερωτηση,9858
καλα,9824
συνεπεια,9803
κι,9790
στοχος,9698
υγειας,9681
προγραμματα,9678
κατ,9656
περιβαλλοντος,9651
βρισκεται,9650
απολυτως,9634
